strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
CPM-RO-001,cross_sectional_dispersion_24h,Holdout,LOW,64,35,20,9,0,55,0.6363636363636364,0.36363636363636365,0.2727272727272727,1.89270309770791,-0.7037337662337662,990.0
CPM-RO-001,cross_sectional_dispersion_24h,Holdout,MID,77,54,14,9,0,68,0.7941176470588235,0.20588235294117646,0.5882352941176471,2.9649805447470814,-0.4666666666666666,472.5
CPM-RO-001,cross_sectional_dispersion_24h,Holdout,HIGH,217,123,56,38,0,179,0.6871508379888268,0.3128491620111732,0.3743016759776536,1.635043362547607,-0.7145242070116861,660.0
CPM-RO-001,cross_sectional_dispersion_24h,Full,LOW,190,86,79,25,0,165,0.5212121212121212,0.47878787878787876,0.04242424242424243,1.181547619047619,-0.9613095238095237,690.0
CPM-RO-001,cross_sectional_dispersion_24h,Full,MID,202,92,52,58,0,144,0.6388888888888888,0.3611111111111111,0.2777777777777778,1.0051020408163265,-0.6133807098882723,645.0
CPM-RO-001,cross_sectional_dispersion_24h,Full,HIGH,327,151,100,76,0,251,0.601593625498008,0.398406374501992,0.20318725099601595,0.9868421052631579,-0.7855297157622739,765.0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,LOW,127,53,44,30,0,97,0.5463917525773195,0.4536082474226804,0.09278350515463918,0.9557522123893804,-0.85,615.0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,MID,81,24,32,25,0,56,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.5635179153094462,-0.861904761904762,517.5
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,HIGH,153,40,65,48,0,105,0.38095238095238093,0.6190476190476191,-0.23809523809523808,0.5861075912913258,-0.7875210792580101,1110.0
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,LOW,31,24,4,3,0,28,0.8571428571428571,0.14285714285714285,0.7142857142857143,4.97508896797153,-0.2439024390243902,367.5
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,MID,30,26,4,0,0,30,0.8666666666666667,0.13333333333333333,0.7333333333333333,7.763028996865204,-0.3909623439514748,810.0
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,HIGH,297,162,82,53,0,244,0.6639344262295082,0.3360655737704918,0.32786885245901637,1.400611620795107,-0.7145242070116861,772.5
CPM-RO-001,avg_cross_asset_corr_24h,Full,LOW,158,77,48,33,0,125,0.616,0.384,0.232,1.2085585585585585,-0.7551238738738738,495.0
CPM-RO-001,avg_cross_asset_corr_24h,Full,MID,111,50,36,25,0,86,0.5813953488372093,0.4186046511627907,0.16279069767441862,1.3245071233270973,-0.7705882352941176,547.5
CPM-RO-001,avg_cross_asset_corr_24h,Full,HIGH,450,202,147,101,0,349,0.5787965616045845,0.42120343839541546,0.15759312320916904,0.9627699924142611,-0.7465846994535519,855.0
CPM-RO-001,market_breadth_24h,Discovery,LOW,65,37,17,11,0,54,0.6851851851851852,0.3148148148148148,0.37037037037037035,1.5161290322580645,-0.543046357615894,427.5
CPM-RO-001,market_breadth_24h,Discovery,MID,104,28,51,25,0,79,0.35443037974683544,0.6455696202531646,-0.2911392405063291,0.582723853233047,-1.139880952380952,945.0
CPM-RO-001,market_breadth_24h,Discovery,HIGH,192,52,73,67,0,125,0.416,0.584,-0.168,0.6666666666666666,-0.7825953663557133,915.0
